"FTVFUND_GRNT_CODE","FTVFUND_FUND_CODE","UI_INDEX"
"AP8652","228652","870ZTQ"
"AP8652","228663","870ZTP"
"AP8652","228664","870ZTO"
"AP8656","228656","870ZTN"
"AP8656","228669","846ZY1"
"AP8683","228683","870ZTG"
"AP8685","228685","870ZTH"
"AP8686","228686","870ZTF"
"AP8688","228688","870ZTA"
"AP8688","228689","870ZT9"
"AP8690","228690","870ZT8"
"AP8695","228695","870ZT7"
"AP8696","228696","870ZTE"
"AP8696","228697","870ZTD"
"AP8696","228698","870ZTC"
"AP8736","228736","870ZT0"
"AP8736P","228754","870ZSY"
"AP8752","228752","870ZSV"
"AP8775","228775","870ZST"
"AP8776","228776","870ZSU"
"AP8779","228779","870ZSQ"
"AP8810","228810","870ZSK"
"AP8810","228819","826510"
"AP8825","228825","870ZSC"
"AP8825","228826","870ZSB"
"AP8825","228827","761750"
"AP8825","228828","884609"
"AP8835","228835","870ZSA"
"AQ6534","226534","830815"
"AQ6535","226535","830814"
"AQ6624","226624","830813"
"AQ6812","226812","830807"
"AQ7357","227357","830805"
"AQ7357B","227358","830804"
"AQ7357B","227359",""
"AQ7357P","227411","830803"
"AQ7420","227420","830802"
"AQ7629","227629","830800"
"AQ7716","227716","830793"
"AQ7716C","228058","830789"
"AQ7716C","228093","830788"
"AQ7716C","228094","830787"
"AQ7716C","228095","830786"
"AQ7716C","228296","830781"
"AQ7716P","228059","830782"
"AQ7727","227727","830799"
"AQ7820","227820","830798"
"AQ7841","227841","830796"
"AQ7842","227842","830797"
"AQ8097","228097","830784"
"AQ8202","228202","830792"
"AQ8202B","228204","830791"
"AQ8215","228215","830790"
"AQ8215B","228216","830785"
"AQ8215P","228218","830783"
"AQ8709","228709","830775"
"AQ8821","228821","830773"
"AQ8821","228822","830772"
"AQ8821B","228822","830772"
"AQ8821P","228823","830771"
"AR1692","221692","761931"
"AR5031","225031","761920"
"AR5031","225871","761851"
"AR5031","226790","761812"
"AR5031","227452","761794"
"AR5031","228325","761766"
"AR6524","226524","761821"
"AR6525","226525","761817"
"AR6527","226527","761824"
"AR6530","226530","761823"
"AR6541","226541","761818"
"AR6554","226554","761822"
"AR6838","226838","761809"
"AR7267","227267","761802"
"AR7346","227346","761797"
"AR7346C","227360","761796"
"AR7347","227347","761799"
"AR7408","227408","761791"
"AR7408P","228174","761772"
"AR7556","227557","761787"
"AR7556","227558","542995"
"AR7556P","228270","761768"
"AR7571","227571","761790"
"AR7693","227693","761788"
"AR8268","228268","761767"
"AR8399","228399","761764"
"AR8439","228439","761762"
"AR8574","228574","761752"
"AS4597","224597","742942"
"AS4981","224981","742936"
"AS4981","224982","742935"
"AS4981","224983","742933"
"AS4981","224984","742931"
"AS4981","225887","742727"
"AS4981","225888","742726"
"AS4981","225889","742725"
"AS4981","225890","742724"
"AS4981","226792","742720"
"AS4981","226793","742719"
"AS4981","226794","742718"
"AS4981","226795","742717"
"AS4981","227606","742708"
"AS4981","227607","742707"
"AS4981","227608","742706"
"AS4981","227609","742705"
"AS4981","228474","742679"
"AS4981","228475","742678"
"AS6533","226533","742836"
"AS6536","226536","742837"
"AS6627","226627","742830"
"AS6745","226745","742834"
"AS6850","226850","742833"
"AS6850","226851","738859"
"AS6850","226852","761805"
"AS6850","226853","742832"
"AS6850","226854","738858"
"AS6850","226855","761804"
"AS6918","226918","742831"
"AS7200","227200","742829"
"AS7345","227345","742828"
"AS7345C","227478","742710"
"AS7519","227519","742826"
"AS7614","227614","742825"
"AS7661","227661","742824"
"AS7767","227767","742823"
"AS7786","227786","742822"
"AS7821","227821","742821"
"AS7891","227891","742820"
"AS7993","227993","742819"
"AS8396","228396","742817"
"AS8610","228610","742815"
"AS8753","228753","742813"
"AS8759","228759","742814"
"AT4858","224858","768888"
"AT4858","225899","768856"
"AT4858","226695","768842"
"AT4858","227679","768826"
"AT4858","227679","768827"
"AT4858","228366","768807"
"AT4953","224953","768825"
"AT4953","224953","768934"
"AT4953","225864","768857"
"AT4953","226694","768843"
"AT4953","227710","768823"
"AT4953","227710","768825"
"AT4953","228466","768803"
"AT4954","224954","768887"
"AT4954","225962","768855"
"AT4954","226724","768841"
"AT4954","227717","768824"
"AT4954","228375","768806"
"AT6523","226523","768846"
"AT6526","226526","768845"
"AT6876","226876","768840"
"AT7280","227280","768832"
"AT7456","227456","768829"
"AT7882","227882","768815"
"AT7882C","227883","768814"
"AT7882C","228592","768796"
"AT8179","228179","768808"
"AT8602","228602","768795"
"AU4509","224509","738967"
"AU4509","225807","738769"
"AU4509","226791","738760"
"AU4509","227613","738751"
"AU4509","228467","738739"
"AU6528","226528","738867"
"AU6529","226529","738865"
"AU6531","226531","738868"
"AU6532","226532","738866"
"AU7719","227719","738854"
"AU7720","227720","738855"
"AU8158","228158","738851"
"AU8458","228458","738849"
"AU8485","228485","742816"
"AV8634","228634","792988"
"AW2993","222993","826763"
"AW2993C","223052","826761"
"AW2993C","223062","826759"
"AW2993C","223063","826760"
"AW3577","223577","826743"
"AW4362","224362","826979"
"AW6543","226543","826628"
"AW6543C","226595","826627"
"AW6754","226754","826622"
"AW6922","226922","826608"
"AW6928","226928","826609"
"AW6931","226931","826607"
"AW6931","227129","826603"
"AW6985","226985","826605"
"AW6994","226994","826606"
"AW7061","227061","826598"
"AW7061","227062","826599"
"AW7063","227063","826597"
"AW7063","227064","870ZZO"
"AW7063","227065","826596"
"AW7163","227163","826600"
"AW7229","227229","826595"
"AW7286","227286","826594"
"AW7401","227401","826588"
"AW7409","227409","826592"
"AW7409C","227410","826591"
"AW7409C","227413","826590"
"AW7409C","227414","826589"
"AW7409C","228807","826513"
"AW7419","227419","826586"
"AW7444","227444","826587"
"AW7446","227446","826583"
"AW7477","227477","826584"
"AW7574","227574","826580"
"AW7611","227611","826578"
"AW7620","227620","826577"
"AW7837","227837","826563"
"AW7899","227899","826559"
"AW7999","227999","826558"
"AW7999","228000","870ZW6"
"AW7999","228042","826557"
"AW8003","228003","826556"
"AW8003","228004","826555"
"AW8003","228043","870ZW5"
"AW8040","228040","826554"
"AW8040C","228041","826552"
"AW8148","228148","826547"
"AW8148","228149","820878"
"AW8181","228181","826546"
"AW8186","228186","826543"
"AW8186C","228187","826512"
"AW8186C","228820","826511"
"AW8327","228327","826540"
"AW8327","228328","826539"
"AW8452","228452","826535"
"AW8545","228545","826527"
"AW8615","228615","826526"
"AW8618","228618","826525"
"AW8705","228705","826522"
"AW8713","228713","826521"
"AW8723","228723","826520"
"AW8762","228762","826516"
"AW8801","228801","826514"
"AY6890","226890","757973"
"AZ8707","228707","765900"
"AZ8707","228760","765897"
"BL7319","227319","788923"
